;experiment;rat_number;experiment_type;session_number;ID;session;type;ND1;ND2;D1;D2;np1_T;np2_T;np_T;inj_T;np1_ND1;np1_ND2;np2_ND1;np2_ND2;npT_ND1;npT_ND2;np1_1min_ND1;np2_1min_ND1;npT_1min_ND1;inj_D1;inj_D2;D1_start;D2_start;ND1_start;ND2_start;np1_D1_lat;np2_D1_lat;npT_D1_lat;D2_np1_lat;D2_np2_lat;D2_npT_lat;np1_ND1_lat;np2_ND1_lat;npT_ND1_lat;np1_ND2_lat;np2_ND2_lat;npT_ND2_lat;inj_D1_lat;inj_D2_lat;F6_1;L9_1;L9F6diff_1;L9F6ratio_1;late_seeker_1;F6_2;L9_2;L9F6diff_2;L9F6ratio_2;late_seeker_2;dk_D1_time;dk_D1_peakFpre;dk_D1_peakAdFpre;dk_D1_peakAZpre;dk_D1_peakFpost;dk_D1_peakAdFpost;dk_D1_peakAZpost;dk_D1_1preavgZ;dk_D1_1postavgZ;dk_D1_1preAUCdF;dk_D1_1postAUCdF;dk_D1_3preavgZ;dk_D1_3postavgZ;dk_D1_3preAUCdF;dk_D1_3postAUCdF;dk_D1_5preavgZ;dk_D1_5postavgZ;dk_D1_5preAUCdF;dk_D1_5postAUCdf;D1_ND1_peakFpre;D1_ND1_peakAdFpre;D1_ND1_peakAZpre;D1_ND1_peakFpost;D1_ND1_peakAdFpost;D1_ND1_peakAZpost;D1_ND1_1preavgZ;D1_ND1_1postavgZ;D1_ND1_1preAUCdF;D1_ND1_1postAUCdF;D1_ND1_3preavgZ;D1_ND1_3postavgZ;D1_ND1_3preAUCdF;D1_ND1_3postAUCdF;D1_ND1_5preavgZ;D1_ND1_5postavgZ;D1_ND1_5preAUCdf;D1_ND1_5postAUCdf;ND1_D2_time;ND1_D2_peakFpre;ND1_D2_peakAdFpre;ND1_D2_peakAZpre;ND1_D2_peakFpost;ND1_D2_peakAdFpost;ND1_D2_peakAZpost;ND1_D2_1preavgZ;ND1_D2_1postavgZ;ND1_D2_1preAUCdF;ND1_D2_1postAUCdF;ND1_D2_3preavgZ;ND1_D2_3postavgZ;ND1_D2_3preAUCdF;ND1_D2_3postAUCdF;ND1_D2_5preavgZ;ND1_D2_5postavgZ;ND1_D2_5preAUCdf;ND1_D2_5postAUCdf;D1_ND1_time
29;AS21R;11;BSL;45;AS21R_11;AS21R_rat_11_BSL_j45;SA;(2400.01, 3300.01);no ND2;(0, 2400.01);(3300.01, 3306.977);2087.0;45.0;2132.0;27.0;915.0;;0.0;0.0;915.0;0.0;31.0;0.0;31.0;26.0;1.0;0.0;3300.01;2400.01;;4.247;270.261;4.247;0.008;;0.008;42.615;;42.615;;;;22.855;3.468;594.0;321.0;-273.0;-0.298;0.0;;;;;0.0;0.095;;;;;;;;;;;;;;;;;;;2.0;0.020266299026360027;2.568467691672816;2.1;0.018997863826546384;2.407700100241761;2.3450255305613868e-17;0.20181692752640798;0.002222551246926435;0.0035661693617120038;-3.125841015166787e-17;0.036915356676376083;0.011393784252950118;0.01219011780696681;-9.377007400331246e-18;0.06759817847939638;0.01691288787221923;0.019299144386969485;3300.01;3.0;0.012789659100948392;1.6208423080645036;;;;;;0.0;-0.002768547209767686;;;0.0;-0.002081189697475289;;;0.0;-0.006044611361682131;2400.01
30;AS21R;11;SA1;;AS21R_11;AS21R_rat_11_SA1;SA;(2400.006, 3300.014);(5700.016, 6600.019);(0, 2400.006);(3300.014, 5700.016);115.0;9.0;124.0;17.0;8.0;0.0;2.0;0.0;10.0;0.0;0.0;0.0;0.0;7.0;4.0;0.0;3300.014;2400.006;5700.016;605.17;491.431;491.431;26.082;;26.082;255.447;72.553;72.553;;;;707.24;29.414;6.0;2.0;-4.0;-0.5;0.0;0.0;0.0;0.0;;0.0;10.006;;;;2.6;0.0243916073510795;2.385792196883093;0.0;-1.0000402732922646;0.004785091752630411;-0.003336694987592197;-1.1117468003932394e-16;0.13852507564282762;0.01730022146560894;0.020573921774364505;3.7470941899016487e-17;0.257343791617431;0.01749110562061894;0.028966746978416006;2.0;0.025388018422299607;2.5791469412028434;2.0;0.017577714679517277;1.7856281924336677;-4.686184572201815e-17;-0.2692179127496632;-0.0028902650091800837;-0.00471654561402151;-3.1249817955364495e-17;-0.5113420186303195;0.01496912680617228;-0.00065463993021844;0.0;-0.6542505454631052;0.030173528385778886;-0.0024505764894602305;3300.014;1.7;0.01367846647223607;1.3386985168441399;1.8;0.03045870339291022;2.9811798006991364;-4.6900510611227736e-17;1.5844880324893305;-0.007373228472239463;0.009101669352034311;-7.814602537916967e-17;2.2226578760797016;-0.02358754703934935;0.0407662908266853;-7.501605920264997e-17;2.1642690371762043;-0.038685095231289934;0.05679002269724363;2400.006
31;AS21R;11;SA3;29;AS21R_11;AS21R_rat_11_SA3_j29;SA;(2400.006, 3300.013);(5700.015, 6600.018);(0, 2400.006);(3300.013, 5700.015);193.0;21.0;214.0;22.0;50.0;24.0;13.0;3.0;63.0;27.0;0.0;0.0;0.0;8.0;7.0;0.0;3300.013;2400.006;5700.015;35.775;326.306;35.775;21.752;;21.752;330.345;235.172;235.172;370.565;299.488;299.488;99.117;25.345;22.0;28.0;6.0;0.12;0.0;0.0;24.0;24.0;1.0;0.0;10.005;;;;3.0999999999999996;0.02315028739689708;2.131153658568785;2.3392353440661734e-17;0.7083444222152094;0.004119138751651933;0.010100455518338172;-2.14724453114316e-17;0.5508058438793404;0.005867286802606283;0.01971167843063878;2.3430922861009075e-17;0.5179038659052351;0.008173054904435696;0.03026818185310371;3.2;0.014731118717358774;1.783092656408226;2.8;0.019925080229426663;2.4118008605980807;-7.029276858302722e-17;0.5734518374777463;0.0032283849262809694;0.007404955377526245;-6.249963591072899e-17;1.1404433139093872;0.0009613606185868306;0.024407419462192922;9.375460805015341e-18;0.8745501746904073;0.0059097352475409376;0.037305089370579136;3300.013;2.5;0.010845936254075152;1.1337863750679444;2.1;0.022531592126983774;2.355683804658986;1.4058553716605444e-16;1.2911625894984409;-0.013013884722803343;-0.002581057376555058;-1.328117263102991e-16;1.5942888644822713;-0.03272150758970293;0.004586015111693938;-1.7813375529529148e-16;1.494698942343544;-0.0516210975065587;0.010517504026081778;2400.006
32;AS21R;11;SA4;;AS21R_11;AS21R_rat_11_SA4;SA;(2400.001, 3300.002);(5700.005, 6600.008);(0, 2400.001);(3300.002, 5700.005);271.0;13.0;284.0;19.0;112.0;58.0;1.0;3.0;113.0;61.0;0.0;0.0;0.0;7.0;6.0;0.0;3300.002;2400.001;5700.005;34.451;11.136;11.136;25.142;;25.142;287.114;449.897;287.114;333.522;341.759;333.522;67.941;29.368;38.0;74.0;36.0;0.321;0.0;3.0;55.0;52.0;0.897;1.0;10.002;;;;1.3999999999999997;0.033557761156359694;2.4934586211979948;1.407015318336832e-16;0.4033250131181199;0.012179471924336254;0.015447782478944589;1.3284824314458843e-16;-0.27619934072305136;0.0409050338512662;0.03304964455248353;3.7508029601324984e-17;-0.42729797869374375;0.0816162068799512;0.059973383890159264;2.3;0.03045563602093224;2.801397181659572;2.1;0.025052883996403607;2.3044495703100005;-9.37236914440363e-17;0.31458860131643857;0.00100598994180689;0.004570168302847849;-3.1249817955364495e-17;0.0013666689980320558;0.019759119362921282;0.01980805599402027;-5.625276483009205e-17;-0.11507318637250626;0.03826008170207436;0.03179183071474224;3300.002;2.7;0.0278200154319398;2.3339766636245844;2.2;0.03160194568766211;2.651262567610174;0.0;0.6575389731842206;0.004946858053700524;0.011181206177923397;0.0;0.8695997376047068;0.011003478987712055;0.0363464055252532;1.1252408880397495e-16;0.36294426079190184;0.040061786037074075;0.06080828882003536;2400.001
33;AS21R;11;SA5;33;AS21R_11;AS21R_rat_11_SA5_j33;SA;(2400.007, 3300.015);(5700.017, 6600.02);(0, 2400.007);(3300.015, 5700.017);126.0;65.0;191.0;24.0;2.0;0.0;13.0;0.0;15.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;3300.015;2400.007;5700.017;30.564;121.123;30.564;20.721;1026.706;20.721;895.703;185.964;185.964;;;;54.519;24.158;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;;0.0;10.002;;;;0.7999999999999998;0.037504841832363175;3.184066839141397;-3.748947657761452e-16;-0.3303151748879751;0.013976091231471751;0.011393527385844232;-3.1249817955364495e-17;-0.7999473423159665;0.05301942597150002;0.032376912150958476;-1.5003211840529994e-16;-0.8219012849447083;0.0908438600542207;0.05641701003059093;2.1;0.016922483110836564;2.2778575957101634;2.8;0.016188724363084186;2.179078645857667;-2.3430922861009075e-17;-0.42243616238447623;0.002745477721245287;0.00020902133699843533;0.0;-0.09224029653581489;0.009932918320636325;0.008064727451683231;-5.625276483009205e-17;0.017064701915294536;0.011814927932460483;0.012433537828352475;3300.015;1.9;0.024185896830324488;2.1264403400864587;1.7;0.026704200475980294;2.3478413466404424;7.03507659168416e-17;0.320037913062928;0.002416643704428274;0.005351391879164522;4.68876152275018e-17;0.6572755029827386;0.010318003255304513;0.03021431773623292;-8.439306660298122e-17;0.6315226668105486;0.01642451991392852;0.0463450974302333;2400.007
34;AS21R;11;SA6;36;AS21R_11;AS21R_rat_11_SA6_j36;SA;(2400.0, 3300.003);(5700.002, 6600.002);(0, 2400.0);(3300.003, 5700.002);722.0;40.0;762.0;29.0;77.0;345.0;7.0;24.0;84.0;369.0;0.0;0.0;0.0;12.0;9.0;0.0;3300.003;2400.0;5700.002;7.375;47.994;7.375;4.517;;4.517;499.31;630.107;499.31;40.619;323.187;40.619;71.028;8.81;0.0;77.0;77.0;1.0;1.0;168.0;177.0;9.0;0.026;0.0;10.0;;;;2.1;0.034148194800707965;2.2143600064282363;-7.029276858302722e-17;1.173576072330076;0.004566792846049566;0.013743495498900155;0.0;0.22665958115174673;0.03887368716296156;0.045556687139495795;0.0;0.1224524360258308;0.0778552428207847;0.083987846919912;2.8;0.01798274732971235;1.9879348561863706;2.9;0.01313344304317126;1.451808244252938;-4.686184572201815e-17;0.411774090016427;-0.0032593723663649986;-2.5758404719493345e-05;-2.7343590710943932e-17;0.4243915732671347;-0.006700960289989859;0.0027861943161096975;-1.8750921610030682e-17;0.12224034241807627;-0.00938867503249631;-0.004675708845348999;3300.003;3.1;0.008628703763470842;0.8507829113791902;2.5;0.018274331720771288;1.801640013670151;1.1715461430504537e-16;1.982168700470584;-0.012682557516073422;0.00145640479614375;-9.374945386609349e-17;1.2299827363725488;-0.0333447964006254;-0.005130243910507391;-2.7657609374795257e-16;1.0103611363000573;-0.0519731841307693;-0.00993964335813796;2400.0
35;AS21R;11;SA7;;AS21R_11;AS21R_rat_11_SA7;SA;no ND1;no ND2;(0.0, 2231.643);no D2;1018.0;36.0;1054.0;35.0;;;;0.0;;0.0;;;;35.0;;0.0;;;;30.565;250.888;30.565;;;;;;;;;;123.616;;;;;;0.0;;;;;0.0;10.0;;;;2.3;0.0318335385957862;2.8023598768109315;-4.686184572201815e-17;1.7073759786458451;0.0055281393147070335;0.018500239576523816;-7.812454488841123e-17;1.3591946183074362;0.014693549461691548;0.05004759632579365;-6.562822563510738e-17;0.776593927587331;0.028182350325480186;0.06521355535991061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;AS21R;11;SA8;39;AS21R_11;AS21R_rat_11_SA8_j39;SA;(2400.0, 3300.0);no ND2;(0, 2400.0);(3300.0, 4702.831);2364.0;6.0;2370.0;35.0;1267.0;;0.0;0.0;1267.0;0.0;15.0;0.0;15.0;23.0;12.0;0.0;3300.0;2400.0;;58.133;381.116;58.133;0.044;;0.044;10.878;;10.878;;;;368.982;4.608;543.0;724.0;181.0;0.143;0.0;;;;;0.0;10.0;;;;1.9;0.03133723345994471;3.1567362281515794;0.0;0.019528886927132345;0.015818107566847567;0.016005863521037222;-2.734359071094393e-16;-0.11319790507280013;0.03969223923480275;0.03668708338958003;-7.96914168426304e-17;-0.4538359902945648;0.07160930535752841;0.05228589111139014;2.8;0.013392567690746685;1.6879763819404388;2.1;0.01930143930155209;2.4328076216606154;5.27630744376312e-17;1.4483301437981666;-0.004745871068948336;0.004922232194572403;3.9073012689584836e-18;1.1673682835503956;-0.010024660789274319;0.015329746115053644;-3.7508029601324984e-17;0.960170773773726;-0.012597400816032197;0.02020621074379819;3300.0;3.1;0.011395734978197007;1.4939486539147115;1.5;0.02180739732446623;2.8590627145568726;4.6900510611227736e-17;1.0559937051025183;-0.0026961543400879115;0.003556785417027322;2.7351108882709384e-17;1.4336761524649062;-0.007296926584950063;0.0207043742260742;3.7508029601324984e-17;1.2338433886711047;-0.015359309437505977;0.027324276806098398;2400.0
37;AS21R;12;BSL;42;AS21R_12;AS21R_rat_12_BSL_j42;SA;(2400.004, 3300.0);no ND2;(0, 2400.004);no D2;49.0;13.0;62.0;9.0;4.0;;13.0;0.0;17.0;0.0;0.0;0.0;0.0;9.0;;0.0;;2400.004;;27.538;;27.538;;;;592.071;756.603;592.071;;;;66.935;;0.0;4.0;4.0;1.0;0.0;;;;;0.0;0.015;;;;;;;;;;;;;;;;;;;2.7;0.010406067132845247;0.8884457773578972;2.1;0.040217757612045844;3.433632303210406;0.0;3.62427506295873;-0.007417194463054293;0.021484251858469163;4.6874726933046743e-17;3.055625412696778;-0.024898045016820025;0.057538599831647136;-1.3125645127021477e-16;3.1349396027866105;-0.03692578494090243;0.09752886445046213;3300.0;2.5;0.02238116547425925;1.910825201483159;;;;1.427429603089487e-16;10.10515776223154;-1.756348765530207e-05;0.004853357792093789;1.0;-6107701837109876.0;0.0001196111271125899;0.009340578060374588;2.3156080227896123e-15;-6.35240579216106;5.167009715120715e-05;0.014407755058732144;2400.004
38;AS21R;12;BSL;45;AS21R_12;AS21R_rat_12_BSL_j45;SA;(2400.004, 3300.004);no ND2;(0, 2400.004);(3300.004, 3325.037);182.0;5.0;187.0;10.0;128.0;;5.0;0.0;133.0;0.0;0.0;0.0;0.0;9.0;1.0;0.0;3300.004;2400.004;;90.442;;90.442;5.929;;5.929;208.443;468.43;208.443;;;;112.118;20.776;93.0;35.0;-58.0;-0.453;0.0;;;;;0.0;0.019;;;;;;;;;;;;;;;;;;;1.5;-0.005327723499531961;-0.6333540129805632;4.2;-0.001300195169557022;-0.1509898378105981;5.159056167235051e-16;1.4563617843572265;-0.009961317648508817;-0.007178777394461171;-1.5629205075833933e-16;0.8400942180877022;-0.03142753760125802;-0.025047515869419494;1.8754014800662492e-16;0.767421150757509;-0.05588093525600035;-0.0462570404415697;3300.004;;;;;;;;;;;;;;;;;;;2400.004
39;AS21R;12;BSL;46;AS21R_12;AS21R_rat_12_BSL_j46;SA;(2400.009, 3300.009);no ND2;(0, 2400.009);(3300.009, 3300.861);91.0;6.0;97.0;9.0;46.0;;6.0;0.0;52.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;3300.009;2400.009;;5.831;;5.831;;;;428.637;785.066;428.637;;;;32.299;;0.0;46.0;46.0;1.0;0.0;;;;;0.0;0.089;;;;;;;;;;;;;;;;;;;2.6;-0.006649650741454977;-0.742247047210445;1.9;0.00436969159130496;0.47839515193896215;1.4058553716605444e-16;3.437512896620488;-0.01497212670570357;-0.002290433488475193;4.492161331083646e-16;2.322119154898422;-0.04344959746355092;-0.01887751093777288;1.3360031647146862e-16;1.904342797579279;-0.0727188612179075;-0.034490097950056905;3300.009;;;;;;;;;;;;;;;;;;;2400.009
40;AS21R;12;SA2;24;AS21R_12;AS21R_rat_12_SA2_j24;SA;(2400.002, 3300.002);(5700.003, 6600.007);(0, 2400.002);(3300.002, 5700.003);126.0;5.0;131.0;23.0;5.0;0.0;2.0;0.0;7.0;0.0;0.0;0.0;0.0;7.0;9.0;0.0;3300.002;2400.002;5700.003;79.846;74.344;74.344;11.011;;11.011;80.488;122.962;80.488;;;;127.341;49.144;1.0;4.0;3.0;0.6;0.0;0.0;0.0;0.0;;0.0;10.003;;;;2.5;0.02009913744271317;1.8918052052515006;-5.833684201642859e-17;0.688962089451949;0.0014157019655676641;0.006419818058297774;3.888058745609303e-18;0.6628760290253367;0.0039512784367463465;0.019104239775745206;-2.2427125639641496e-16;-0.0697054960297916;0.030520165555439786;0.026997526183997155;2.1;0.011769947910364831;1.0616554510752594;3.2;0.03738653758968385;3.37319392016395;4.6900510611227736e-17;3.5381513191481537;-0.004938095029938287;0.022789772327224195;-1.5629205075833934e-17;3.7111579984424257;-0.022254811937373213;0.060774198154535476;9.377007400331246e-17;2.7136909194350864;-0.03232492028364689;0.08373237510519808;3300.002;2.0;0.01865638526744817;1.852358743665857;3.4;0.03308746859775506;3.284916907977315;-1.1725127652806933e-16;3.0267149842270533;0.0017619103708247403;0.01574414748162128;1.5629205075833934e-17;3.1261921285852807;0.0004812105643653762;0.05916459412750475;0.0;2.2457075776250757;-0.008798894354714525;0.07513431473000128;2400.002
41;AS21R;12;SA3;26;AS21R_12;AS21R_rat_12_SA3_j26;SA;(2400.003, 3300.007);(5700.01, 6600.014);(0, 2400.003);(3300.007, 5700.01);120.0;4.0;124.0;24.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;8.0;9.0;0.0;3300.007;2400.003;5700.01;50.864;44.452;44.452;5.897;;5.897;;718.517;718.517;;;;85.224;16.575;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;10.002;;;;;;;;;;;;;;;;;;;1.9;0.007159239102383495;0.6807105739118464;2.7;0.030320552456690044;2.8830004749221314;9.37236914440363e-17;3.315772188824552;-0.002278475308166453;0.01976459256896094;0.0;2.388981531420909;-0.023706382103529655;0.041631828162645206;7.500368644012273e-17;2.2701924698665636;-0.05100093858266132;0.0482814660494104;3300.007;2.2;0.01848519711431909;1.5989662444662143;1.9;0.03809554960343975;3.295715543386956;-5.862563826403466e-17;2.009747439575967;-0.0003722370794210634;0.01672608662176231;3.125841015166787e-17;2.857053083763437;-0.008468944162950638;0.0647892152244555;-1.8754014800662492e-17;2.2718099277196226;-0.005393500588835955;0.09898621867246712;2400.003
42;AS21R;12;SA5;32;AS21R_12;AS21R_rat_12_SA5_j32;SA;(2400.0, 3300.0);(5700.001, 6600.001);(0, 2400.0);(3300.0, 5700.001);134.0;8.0;142.0;22.0;9.0;6.0;1.0;5.0;10.0;11.0;0.0;0.0;0.0;9.0;7.0;0.0;3300.0;2400.0;5700.001;26.896;36.238;26.896;5.152;;5.152;378.477;541.245;378.477;573.093;638.3;573.093;66.176;15.585;0.0;9.0;9.0;1.0;0.0;0.0;6.0;6.0;1.0;0.0;10.0;;;;3.0;0.02531026695829301;2.2345426841040488;-3.5059674461847047e-17;0.45975636965016486;0.010737847933007761;0.01430900573838767;1.2493059090287476e-16;0.3153347289833074;0.03147092346713585;0.040563090305392305;0.0;0.4422517563691098;0.024317702989663445;0.049406015873510185;1.4;0.021162872700547092;1.6558988491180613;0.8;0.04223280442094199;3.304560034860673;2.3450255305613868e-17;3.120199503935401;0.002922262150907082;0.018571772065193917;-6.251682030333574e-17;1.3876188155529543;0.01425387171669155;0.05576366462439829;-3.7508029601324984e-17;1.4412621205203495;-0.005171463069474281;0.08092109844702226;3300.0;1.2;0.02880842758319051;2.2832827196124694;2.3;0.04544968780612247;3.602091196927527;-5.862563826403466e-17;2.9042721219763292;-0.0047511832069148845;0.019386199902803113;-1.2503364060667148e-16;3.824530940730761;-0.022548394123548747;0.06983376917262431;4.688503700165623e-17;3.5173782822384863;-0.03501113708221806;0.10179060246536928;2400.0
43;AS21R;12;SA6;36;AS21R_12;AS21R_rat_12_SA6_j36;SA;(2400.001, 3300.001);(5700.004, 6600.007);(0, 2400.001);(3300.001, 5700.004);115.0;1.0;116.0;22.0;2.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;9.0;7.0;0.0;3300.001;2400.001;5700.004;1.271;;1.271;13.622;;13.622;737.08;;737.08;;522.989;522.989;77.477;16.701;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;;0.0;10.002;;;;0.9999999999999998;0.02625437558389041;2.270877711133215;4.6900510611227736e-17;0.2411547743051678;0.005605523758983759;0.008044073166552049;7.814602537916967e-17;-0.3679404357536541;0.028674807642512543;0.018315513579396626;-3.7508029601324984e-17;-0.2500596674077005;0.03698571863752155;0.025228209422004336;1.6;0.012121417706713824;1.1717795092127732;1.5;0.05060166936179797;4.892449480428407;2.3450255305613868e-17;2.35167737326376;0.00291423151883553;0.01622531906221433;-6.251682030333574e-17;4.6633139842111015;-0.0009460006776216782;0.08984495909166848;7.501605920264997e-17;4.848233082151794;-0.009831163128220093;0.15272548416735324;3300.001;0.9;0.020392080379841034;1.775021972726944;1.3;0.03492115496566785;3.0397084579316567;1.1725127652806933e-16;1.2206789956381099;-0.005222442864556617;0.0054311403193186385;9.37752304550036e-17;1.791673403452574;-0.01573562035968348;0.032548165319852926;4.688503700165623e-17;2.275784841952065;-0.0249779704357398;0.0784127206108029;2400.001
44;AS21R;12;SA7;40;AS21R_12;AS21R_rat_12_SA7_j40;SA;(2400.008, 3300.015);(5700.018, 6600.021);(0, 2400.008);(3300.015, 5700.018);121.0;11.0;132.0;22.0;5.0;4.0;7.0;4.0;12.0;8.0;0.0;0.0;0.0;8.0;7.0;0.0;3300.015;2400.008;5700.018;30.541;;30.541;8.945;;8.945;286.346;428.019;286.346;437.01;413.071;413.071;79.257;15.285;1.0;4.0;3.0;0.6;0.0;0.0;4.0;4.0;1.0;0.0;10.002;;;;3.2999999999999994;0.02154365180030199;2.1174112989722595;4.66311885650599e-17;1.4564216876040736;-0.008414802999541306;0.0049447594703002015;-3.1104469964874426e-17;1.010230557384298;-0.018535909956055398;0.006478081938955339;-3.7323321642027584e-17;1.3815098231667324;-0.030510299405143142;0.02537622279266827;2.1;0.017335740909304558;1.3745233949588995;1.0;0.054957128061986035;4.356660136324729;1.1715461430504538e-17;4.056666439032596;0.002701413455752066;0.03337614901734756;1.5624908977682248e-17;2.8034781718578774;-0.009128973870541878;0.06449850650474906;-3.7501843220061363e-17;3.1252060356004177;-0.021888299338629413;0.1124094297271516;3300.015;2.0;0.020762326009437428;1.796082455181366;1.9;0.036346040588582505;3.143925470029812;2.3430922861009075e-17;2.2116449139346495;0.0034373352547240133;0.024921801927220592;-4.6874726933046743e-17;1.8830047133818593;0.010098769470031096;0.05712152094404467;1.8754014800662492e-17;1.5165172780995506;0.014276935567934492;0.07865823836676598;2400.008
45;AS21R;3;SA1;21;AS21R_3;AS21R_rat_3_SA1_j21;SA;(2400.003, 3300.01);(5700.013, 6600.016);(0, 2400.003);(3300.01, 5700.013);197.0;26.0;223.0;35.0;7.0;4.0;8.0;10.0;15.0;14.0;0.0;0.0;0.0;10.0;21.0;0.0;3300.01;2400.003;5700.013;153.328;139.541;139.541;10.124;3.585;3.585;115.089;535.061;115.089;389.904;356.141;356.141;795.13;23.362;2.0;5.0;3.0;0.429;0.0;0.0;4.0;4.0;1.0;0.0;10.003;;;;2.4;0.02136983741588899;2.3424653399281232;-5.833684201642859e-17;0.3196109634597645;0.006932863626301328;0.009460101080468387;5.849693214270858e-17;0.21725981410781484;0.01903806780112424;0.02422923324035965;-5.619715161721009e-17;-0.315997412478057;0.04206070941538644;0.03037521428944353;2.5;0.013376396338896953;1.5483041368329642;2.5;0.021593136676822913;2.499447149172145;2.3450255305613868e-17;1.5396569550953667;-0.005133469864520896;0.005009933507579978;0.0;0.5444354922220324;0.0010510185731348572;0.01409782325676712;-4.688503700165623e-18;0.479449985219688;-0.002531911802619959;0.015884681639723713;3300.01;1.7;0.01562836384894043;1.742916973298823;1.3;0.03049588421589667;3.401079071075212;4.6900510611227736e-17;0.4061623436756452;0.004152451273060729;0.006967323671260836;0.0;1.6669709589028157;-0.0016336474734259016;0.03558001022211228;0.0;1.6635506582878035;-0.009333063598576665;0.05508817170366922;2400.003
46;AS21R;3;SA2;33;AS21R_3;AS21R_rat_3_SA2_j33;SA;(2400.007, 3300.015);(5700.017, 6600.02);(0, 2400.007);(3300.015, 5700.017);126.0;65.0;191.0;24.0;2.0;0.0;13.0;0.0;15.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;3300.015;2400.007;5700.017;30.564;121.123;30.564;20.721;1026.706;20.721;895.703;185.964;185.964;;;;54.519;24.158;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;;0.0;10.002;;;;2.2999999999999994;0.015677164090573553;1.78330024681244;-7.029276858302722e-17;0.11182162057828537;0.00021667166848067477;0.0012722493497354472;1.9531136222102808e-17;-0.23745903256145742;-0.0011653868259452126;-0.006801370801076271;7.501605920264997e-17;-0.30476170137833425;0.006100217290990904;-0.0061091014088945;2.5;0.015262367345085258;1.6156376915095003;1.5;0.028732736243340582;3.041522807477454;2.3430922861009075e-17;0.9840118831229043;1.6718286331342085e-05;0.007817422549679586;1.1718681733261686e-17;0.9932752628536471;-0.002397213040915212;0.022099256376794517;-1.4063191207523013e-17;1.2626056274143667;-0.007318844710737703;0.04489579554023877;3300.015;1.0;0.020399538980105478;2.1573899655100743;2.0;0.0221655890911183;2.3441711499343163;2.3430922861009075e-17;0.6515545502883738;-0.00317589686564185;0.00186552325669556;-4.2968499688626177e-17;0.40391541545990217;-0.006970045803032974;0.003945642215478892;7.032755550248435e-18;0.28655888511877287;-0.00807840496187234;0.0053704484436309236;2400.007
47;AS21R;3;SA3;;AS21R_3;AS21R_rat_3_SA3;SA;(2400.0, 3300.0);(5700.0, 6600.0);(0, 2400.0);(3300.0, 5700.0);211.0;23.0;234.0;33.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;13.0;10.0;0.0;3300.0;2400.0;5700.0;38.489;14.154;14.154;23.55;859.232;23.55;;;;;205.27;205.27;55.334;27.095;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;10.0;;;;2.3;0.03349051962731744;2.962666155812199;-4.686184572201815e-17;0.2240100624846388;0.009904057683760223;0.012379071308590651;3.1249817955364495e-17;0.6203472357658992;0.019059590104234046;0.03730574079389627;-3.7501843220061363e-17;0.6507342205794815;0.024886751108547232;0.05637741582383345;2.7;0.01692103088488275;1.5438776898521358;1.8;0.029007047419756436;2.646647641614793;1.75876914792104e-17;1.6456381010695975;-0.0017221968083207047;0.01055944267670321;7.814602537916967e-18;1.1638401344970064;-0.008166886661568885;0.021264275057651397;-4.688503700165623e-17;0.870593890064442;-0.01405191346010643;0.025656898047791154;3300.0;3.4;0.024057237952866253;2.1239775680014916;2.4;0.029189869432006226;2.5771254527247396;1.1725127652806933e-16;-0.003709022252377074;0.0034389446685016006;0.00341041289384863;3.907301268958483e-17;0.22254008136026562;0.009102618361877455;0.0157245681357065;-1.8754014800662492e-17;0.09397394080879505;0.01673651914893186;0.021455514315080443;2400.0
48;AS21R;5;BSL;42;AS21R_5;AS21R_rat_5_BSL_j42;SA;(2400.004, 3300.0);no ND2;(0, 2400.004);no D2;73.0;5.0;78.0;8.0;30.0;;4.0;0.0;34.0;0.0;0.0;0.0;0.0;8.0;;0.0;;2400.004;;5.441;81.892;5.441;;;;297.478;804.201;297.478;;;;8.839;;17.0;13.0;-4.0;-0.133;0.0;;;;;0.0;0.022;;;;;;;;;;;;;;;;;;;2.7;0.02783302450611842;2.446999120425483;2.7;0.031226016777791413;2.7453175925529365;-7.029276858302722e-17;0.36777000511121793;0.004866797467301227;0.008748869070558205;-4.6874726933046743e-17;0.44351498161250136;0.019326544432279297;0.0336652048244997;-7.500368644012273e-17;0.47950242795856934;0.02620661110344573;0.0506786415046166;3300.0;2.0;0.021640426502273817;1.9025338735018427;;;;2.0301221021717147e-15;4.700259126384432;-6.195965022708216e-05;-0.005216539381963723;;;-9.23766825950683e-06;-0.012111124421574956;-9.516197353929913e-17;0.9723831643781546;-1.6521997584463573e-05;-0.010131165412647629;2400.004
